qst_deliver_message|Доставить сообщение для {s13}
qst_deliver_message_to_enemy_lord|Доставить сообщение для {s13}
qst_raise_troops|Натренировать {reg1} {s14}
qst_escort_lady|Сопроводить {s13} в {s14}
qst_deal_with_bandits_at_lords_village|Спасти деревню {s15} от мародерствующих бандитов
qst_collect_taxes|Собрать налоги с {s3}
qst_hunt_down_fugitive|Выследить {s4}
qst_kill_local_merchant|Убить местного торговца в {s3}
qst_bring_back_runaway_serfs|Вернуть сбежавших рабов
qst_follow_spy|Преследовать шпиона до места встречи
qst_capture_enemy_hero|Захватить вельможу из города {s13}
qst_lend_companion|Передать своего компаньона {s3} на службу {s9}
qst_collect_debt|Вернуть дог {s3}, принадлежащий {s9}
qst_incriminate_loyal_commander|Скомпрометировать вассала {s13}, {s16}
qst_meet_spy_in_enemy_town|Встретиться со шпионом в городе {s13}
qst_capture_prisoners|Привести {reg1} пленных {s3}
qst_lend_surgeon|Одолжить хирурга {s3} для {s1}
qst_follow_army|Следовать за армией {s9}
qst_report_to_army|Доложить о прибытии {s13}
qst_deliver_cattle_to_army|Доставить {reg3} голов скота в {s13}
qst_join_siege_with_army|Присоединиться к осаде {s14}
qst_screen_army|Прикрыть продвижение армии {s13}
qst_scout_waypoints|Разведать города {s13}, {s14} и {s15}
qst_rescue_lord_by_replace|Спасти {s13} из {s14}
qst_deliver_message_to_prisoner_lord|Доставить письмо для {s13} в {s14}
qst_duel_for_lady|Вызвать {s13} на бой
qst_duel_courtship_rival|Вы и {s13} должны сразиться на поединке чести (необязательно)
qst_duel_avenge_insult|Вызвать {s13} на поединок чести
qst_move_cattle_herd|Перегнать стадо в {s13}
qst_escort_merchant_caravan|Эскорт каравана в {s8}
qst_deliver_wine|Доставить {reg5} единиц {s6} в {s4}
qst_troublesome_bandits|Ликвидировать бандитов
qst_kidnapped_girl|Выплатить бандитам выкуп за похищенную девушку
qst_persuade_lords_to_make_peace|Убедить двух лордов в необходимости мира
qst_deal_with_looters|Разобраться с грабителями
qst_deal_with_night_bandits|Разобраться с ночными бандитами
qst_deliver_grain|Привезти пшеницу в {s3}
qst_deliver_cattle|Доставить {reg5} голов скота в {s3}
qst_train_peasants_against_bandits|Обучить крестьян деревни {s13} давать отпор бандитам
qst_rescue_daughter|Спасти дочь старосты из деревни {s3}
qst_escort_peasants|Сопроводить крестьян до {s3}
qst_eliminate_bandits_infesting_village|Спасти деревню {s7} от мародерствующих бандитов
qst_visit_lady|Посетить даму
qst_formal_marriage_proposal|Сделать официальное предложение о браке
qst_obtain_liege_blessing|Сделать официальное предложение о браке
qst_wed_betrothed|Сыграть свадьбу
qst_wed_betrothed_female|Сыграть свадьбу
qst_join_faction|Присягнуть на верность {s1}
qst_rebel_against_kingdom|{s13} просит содействия, чтобы получить трон в {s14}
qst_consult_with_minister|Поговорить с советником
qst_organize_feast|Устроить пир
qst_resolve_dispute|Разрешить спор
qst_offer_gift|Доставить подарок
qst_denounce_lord|Обвинить лорда
qst_intrigue_against_lord|Устроить заговор против лорда
qst_track_down_bandits|Выследить бандитов
qst_track_down_provocateurs|Выследить провокаторов
qst_retaliate_for_border_incident|Отомстить за пограничную стычку
qst_raid_caravan_to_start_war|Спровоцировать войну, напав на нейтральный караван
qst_cause_provocation|Натравить одно королевство на другое
qst_rescue_prisoner|Спасти или выкупить пленника
qst_destroy_bandit_lair|Уничтожить логово бандитов
qst_ghost_lady|Призрак Леди
qst_marauding_jatu|Дружба с нолдорами
qst_order_bounty|Охота за головами для {s9}
qst_order_tournament|Выиграйте турнир в {s8} для {s9}
qst_order_challenge|Добыть славу для {s9}
qst_order_grandmaster|Грандмастер ордена
qst_order_rivalry|Соперничество в ордене
qst_collect_men|Набрать 5 человек
qst_learn_where_merchant_brother_is|Узнать, где держат заложников
qst_save_relative_of_merchant|Напасть на логово бандитов
qst_save_town_from_bandits|Спасти город от бандитов
qst_old_tale_part_1|Старая история (часть 1)
qst_old_tale_part_2|Старая история (часть 2)
qst_horse_armor|Облачение в доспех
qst_quests_end|Задания завершены
